section,category,deliverable,task,unit,archetype,complexity,hours
1,Planning & Design,CM Plan,Develop CM strategy and approach,Per plan,Strategic Plans & Models,Complex,12
1,Planning & Design,CM Plan,Define CM roadmap and key milestones,Per roadmap,Strategic Plans & Models,Standard,8
1,Planning & Design,CM Plan,Define change governance approach,Per plan,Strategic Plans & Models,Standard,8
1,Planning & Design,CM Plan,Draft Change Management Plan,Per draft,Strategic Plans & Models,Complex,12
1,Planning & Design,CM Plan,Review and update CM Plan based on stakeholder feedback,Per review cycle,Recurring PMO / Admin,Simple,1
1,Planning & Design,CM Plan,Prepare CM Plan presentation deck,Per deck,Decks & Visual Assets,Standard,6
1,Planning & Design,CM Plan,Facilitate CM strategy alignment workshop,Per workshop (per day),Facilitation & Sessions,Complex,12
1,Planning & Design,CM Team Structure,Define CM team structure,Per structure,Strategic Plans & Models,Standard,8
1,Planning & Design,CM Team Structure,Define roles and responsibilities,Per RACI,Strategic Plans & Models,Standard,8
1,Planning & Design,CM Team Structure,Develop CM governance and escalation model,Per model,Strategic Plans & Models,Complex,12
1,Planning & Design,CM Team Structure,Validate CM team structure with client/project team,Per review cycle,Facilitation & Sessions,Simple,3
2,Stakeholder Engagement,Stakeholder Engagement Plan,Identify stakeholder groups,Per stakeholder group,"Surveys, Reports & Analytics",Simple,4
2,Stakeholder Engagement,Stakeholder Engagement Plan,Build stakeholder register,Per register,Trackers & Registers,Standard,3
2,Stakeholder Engagement,Stakeholder Engagement Plan,Conduct stakeholder mapping,Per stakeholder / group,"Surveys, Reports & Analytics",Standard,8
2,Stakeholder Engagement,Stakeholder Engagement Plan,Develop power-interest grid,Per grid,Decks & Visual Assets,Standard,6
2,Stakeholder Engagement,Stakeholder Engagement Plan,"Segment stakeholders by role, function, country, and impact level",Per stakeholder group,"Surveys, Reports & Analytics",Standard,8
2,Stakeholder Engagement,Stakeholder Engagement Plan,Define stakeholder engagement approach,Per plan,Strategic Plans & Models,Standard,8
2,Stakeholder Engagement,Stakeholder Engagement Plan,Draft Stakeholder Engagement Plan,Per plan,Strategic Plans & Models,Complex,12
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Prepare engagement session materials,Per session,Decks & Visual Assets,Standard,6
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Schedule stakeholder engagement sessions,Per session,Recurring PMO / Admin,Simple,1
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Facilitate stakeholder engagement sessions,Per session,Facilitation & Sessions,Standard,6
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Capture meeting notes and actions,Per session,Recurring PMO / Admin,Simple,1
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Track stakeholder concerns and feedback,Per feedback log,Trackers & Registers,Standard,3
2,Stakeholder Engagement,Stakeholder Engagement Sessions,Update stakeholder engagement tracker,Per update cycle,Trackers & Registers,Simple,1
3,Change Agent Network,Change Agent Network Activation,Define change agent model,Per model,Strategic Plans & Models,Standard,8
3,Change Agent Network,Change Agent Network Activation,Define change agent roles and responsibilities,Per role description,Strategic Plans & Models,Simple,6
3,Change Agent Network,Change Agent Network Activation,Identify change agent candidates,Per change agent,Trackers & Registers,Simple,1
3,Change Agent Network,Change Agent Network Activation,Prepare change agent onboarding materials,Per deck / pack,Decks & Visual Assets,Standard,6
3,Change Agent Network,Change Agent Network Activation,Conduct change agent onboarding session,Per session,Facilitation & Sessions,Standard,6
3,Change Agent Network,Change Agent Network Activation,Run change agent check-ins,Per session,Facilitation & Sessions,Simple,3
3,Change Agent Network,Change Agent Network Activation,Capture change agent feedback,Per feedback cycle,Trackers & Registers,Simple,1
3,Change Agent Network,Change Agent Network Activation,Maintain change agent tracker,Per update cycle,Trackers & Registers,Simple,1
4,Communications Management,Communications Plan,Define communications strategy,Per plan,Strategic Plans & Models,Complex,12
4,Communications Management,Communications Plan,Define communication audiences,Per audience group,Strategic Plans & Models,Simple,6
4,Communications Management,Communications Plan,Define communication channels,Per channel,Strategic Plans & Models,Simple,6
4,Communications Management,Communications Plan,Develop key messages,Per message set,Written Comms & Guides,Standard,4
4,Communications Management,Communications Plan,Develop communication calendar,Per calendar,Trackers & Registers,Standard,3
4,Communications Management,Communications Plan,Draft Communications Plan,Per plan,Strategic Plans & Models,Complex,12
4,Communications Management,Communications Plan,Review and revise Communications Plan,Per review cycle,Written Comms & Guides,Simple,2
5,Communications Collaterals,SharePoint Site,Design SharePoint structure,Per site,Video & Digital Assets,Complex,12
