id,date,team,site,q_kept_informed,q_know_what_changes_for_me,q_leaders_visible,comment
cm0,2026-07-30,Depot Admin,Bristol,5,4,3,"The town hall was useful, the slides afterwards were not."
cm1,2026-07-30,Depot Admin,Leeds,4,4,3,
cm2,2026-07-30,Field Ops,Bristol,2,2,4,Clear enough on the why. Zero clarity on the when for my team.
cm3,2026-07-30,Customer Care,Bristol,3,3,4,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm4,2026-07-30,Customer Care,Bristol,3,3,2,Would rather have a five minute team brief than another newsletter.
cm5,2026-07-30,Customer Care,Bristol,3,3,4,"The town hall was useful, the slides afterwards were not."
cm6,2026-07-30,Depot Admin,Bristol,3,2,3,
cm7,2026-07-30,Customer Care,Bristol,3,3,4,
cm8,2026-07-30,Depot Admin,Leeds,4,2,3,Clear enough on the why. Zero clarity on the when for my team.
cm9,2026-07-30,Finance,Leeds,4,4,3,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm10,2026-07-30,Depot Admin,Bristol,3,2,4,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm11,2026-07-30,Depot Admin,Bristol,5,2,4,"The town hall was useful, the slides afterwards were not."
cm12,2026-07-30,Depot Admin,Bristol,3,2,3,
cm13,2026-07-30,Finance,Leeds,5,2,5,"The town hall was useful, the slides afterwards were not."
cm14,2026-07-30,Depot Admin,Bristol,3,3,4,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm15,2026-07-30,Depot Admin,Leeds,2,3,3,
cm16,2026-07-30,Field Ops,Bristol,4,4,3,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm17,2026-07-30,Finance,Leeds,5,4,4,
cm18,2026-07-30,Customer Care,Bristol,4,3,3,
cm19,2026-07-30,Field Ops,Bristol,3,4,2,"The town hall was useful, the slides afterwards were not."
cm20,2026-07-30,Depot Admin,Leeds,4,3,5,Clear enough on the why. Zero clarity on the when for my team.
cm21,2026-07-30,Finance,Leeds,3,3,4,The Friday bulletin is fine but nothing in it tells me what changes for my day.
cm22,2026-07-30,Field Ops,Bristol,3,3,2,
cm23,2026-07-30,Finance,Leeds,5,2,3,"My supervisor couldn't answer basic questions when I asked, so who do I ask?"
cm24,2026-07-30,Field Ops,Leeds,3,2,2,
cm25,2026-07-30,Finance,Leeds,5,5,4,
