ref,assessed,business_area,site,sponsorship,process_ready,system_ready,team_has_capacity,risk_note
ra0,2026-08-07,Field Ops,Bristol,2,3,2,1,We're ready on paper. Not in practice.
ra1,2026-08-07,Field Ops,Leeds,2,2,2,2,Superusers were named but never given time to do the role.
ra2,2026-08-07,Finance,Leeds,4,4,3,3,We're ready on paper. Not in practice.
ra3,2026-08-07,Depot Admin,Leeds,3,2,3,3,"Process maps still aren't signed off, so I can't tell people what good looks like."
ra4,2026-08-07,Field Ops,Leeds,1,2,3,3,
ra5,2026-08-07,Customer Care,Bristol,2,3,3,2,"Process maps still aren't signed off, so I can't tell people what good looks like."
ra6,2026-08-07,Field Ops,Leeds,1,2,1,2,
ra7,2026-08-07,Field Ops,Leeds,3,2,2,2,Superusers were named but never given time to do the role.
ra8,2026-08-07,Finance,Leeds,4,4,2,4,
ra9,2026-08-07,Depot Admin,Leeds,4,3,2,2,
ra10,2026-08-07,Finance,Leeds,3,5,3,2,
ra11,2026-08-07,Finance,Leeds,4,4,3,2,My team cannot absorb a go-live in the same fortnight as peak scheduling.
ra12,2026-08-07,Customer Care,Bristol,3,3,4,5,
ra13,2026-08-07,Customer Care,Bristol,3,3,3,3,We're ready on paper. Not in practice.
ra14,2026-08-07,Depot Admin,Bristol,2,3,3,2,
ra15,2026-08-07,Finance,Leeds,3,3,4,3,
ra16,2026-08-07,Depot Admin,Leeds,4,2,2,1,My team cannot absorb a go-live in the same fortnight as peak scheduling.
ra17,2026-08-07,Customer Care,Bristol,3,4,2,2,
ra18,2026-08-07,Field Ops,Leeds,3,2,1,1,Superusers were named but never given time to do the role.
